filename,match_score
71422121.pdf,6399.697494506836
26673507.pdf,5473.486328125
34758680.pdf,5343.915176391602
27606527.pdf,5283.404159545898
21297521.pdf,5207.008743286133
29990140.pdf,5104.27360534668
45167858.pdf,2479.1627883911133
99124477.pdf,2469.796562194824
16237710.pdf,2351.8203735351562
60182829.pdf,2299.0158081054688
28939941.pdf,2296.5322494506836
23917826.pdf,2295.548439025879
29406313.pdf,2282.89737701416
20488267.pdf,2209.9077224731445
19374660.pdf,2086.7176055908203
16248476.pdf,2036.220932006836
26069113.pdf,1948.931884765625
18635654.pdf,1933.0768585205078
13491889.pdf,1921.1788177490234
28711616.pdf,1920.7962036132812
24349611.pdf,1900.545310974121
10001727.pdf,1875.1731872558594
17131084.pdf,1867.7597045898438
78257294.pdf,1823.7167358398438
43375498.pdf,1790.00244140625
30127072.pdf,1774.3497848510742
37472265.pdf,1752.773666381836
23398733.pdf,1748.8618850708008
94230796.pdf,1680.89599609375
13982572.pdf,1637.0172500610352
62809577.pdf,1616.9071197509766
12420359.pdf,1602.7114868164062
27558837.pdf,1577.0930290222168
89049979.pdf,1561.87744140625
21869994.pdf,1560.935401916504
93576192.pdf,1458.2755088806152
3547447.pdf,1434.7296714782715
28969385.pdf,1428.6046028137207
29839396.pdf,1268.4163093566895
31547476.pdf,1215.5869483947754
43622023.pdf,1196.729850769043
24983760.pdf,1178.4817695617676
81373857.pdf,1175.205135345459
43685045.pdf,1164.5450592041016
47603843.pdf,1157.3500633239746
15592167.pdf,1126.6141891479492
53640713.pdf,1100.2447128295898
31602598.pdf,1067.9567337036133
11266906.pdf,1062.0361328125
99033098.pdf,1038.6771202087402
18319061.pdf,1037.8423690795898
68781345.pdf,1028.3034324645996
28629430.pdf,1018.7368392944336
47729453.pdf,992.1106338500977
18369400.pdf,983.1558227539062
28895997.pdf,978.1375885009766
10554236.pdf,978.0357360839844
23185829.pdf,958.3780288696289
11163645.pdf,952.7758598327637
11187796.pdf,949.7879028320312
54180474.pdf,947.3352432250977
99561379.pdf,943.6640739440918
29775391.pdf,935.1214408874512
65325317.pdf,932.1221351623535
15821633.pdf,928.0359268188477
35483925.pdf,927.1655082702637
27909372.pdf,924.6875762939453
18172739.pdf,908.5468292236328
33872500.pdf,885.8146667480469
30311202.pdf,885.5384826660156
34816637.pdf,883.8041305541992
