filename,match_score
34452806.pdf,88.16656112670898
22848179.pdf,74.34634685516357
21611637.pdf,74.00238513946533
83338413.pdf,73.48008155822754
17694454.pdf,71.99023246765137
60182829.pdf,70.370192527771
27884470.pdf,70.13190269470215
49997097.pdf,65.92896461486816
21867728.pdf,64.80304718017578
92122785.pdf,63.6951208114624
17104024_hritik_aggarwal - Hritik Aggarwal.pdf,63.4482479095459
27831220.pdf,62.84921646118164
23323001.pdf,61.51071071624756
10001727.pdf,61.25863075256348
30337969.pdf,60.77239513397217
16855929.pdf,60.19864082336426
82649935.pdf,59.98237133026123
3547447.pdf,59.81244087219238
92985983.pdf,59.59329128265381
21796843.pdf,58.58787536621094
35492909.pdf,57.70956039428711
33872500.pdf,57.47868537902832
34252537.pdf,56.66726112365723
81373857.pdf,56.48426055908203
60489316.pdf,56.25227928161621
15354126.pdf,56.251182556152344
29093426.pdf,55.332322120666504
73157997.pdf,55.271244049072266
51554903.pdf,55.18036365509033
99561379.pdf,55.0593900680542
96493528.pdf,54.63797569274902
99124477.pdf,54.42454814910889
49204385.pdf,53.14440727233887
39247950.pdf,53.07865619659424
43375498.pdf,52.812886238098145
91268638.pdf,51.79638862609863
23807940.pdf,51.666412353515625
28424982.pdf,51.06001377105713
29552167.pdf,51.05531692504883
24703009.pdf,50.82738399505615
30127072.pdf,50.133562088012695
29772450.pdf,50.11406421661377
15821633.pdf,24.88485097885132
50222417.pdf,24.857468605041504
25846894.pdf,24.668197631835938
17131084.pdf,24.465534687042236
47317494.pdf,24.41262722015381
25547145.pdf,24.38828468322754
17857644.pdf,24.152116775512695
11432686.pdf,24.09174680709839
13130984.pdf,23.598601818084717
22349169.pdf,23.58842372894287
37370455.pdf,23.3016037940979
18172739.pdf,22.96433925628662
57262959.pdf,22.815885543823242
27120528.pdf,22.47457981109619
77156708.pdf,22.355306148529053
15265464.pdf,22.20262050628662
18825446.pdf,21.993610858917236
14150896.pdf,21.926016807556152
34816637.pdf,21.879189014434814
53640713.pdf,21.773009300231934
79041971.pdf,21.709587574005127
20321582.pdf,21.466703414916992
27662298.pdf,21.419100761413574
16066857.pdf,21.333768367767334
79432080.pdf,21.098923683166504
18208580.pdf,21.075716018676758
38309905.pdf,21.054396629333496
29211359.pdf,20.844922065734863
91591026.pdf,20.78277349472046
15180322.pdf,20.759587287902832
37231163.pdf,20.661141872406006
26065877.pdf,20.57547092437744
19545827.pdf,20.134258270263672
13095891.pdf,20.07904291152954
24221960.pdf,20.021555423736572
12442909.pdf,19.890763759613037
34953092.pdf,19.816527366638184
78257294.pdf,19.408355951309204
11266906.pdf,19.350392818450928
93576192.pdf,19.21223521232605
83206166.pdf,19.18923854827881
27573855.pdf,19.018526077270508
28895997.pdf,18.72615694999695
27606527.pdf,18.219627141952515
70667011.pdf,18.159847259521484
18365791.pdf,18.122477531433105
80053367.pdf,17.87137746810913
11672279.pdf,17.730867862701416
24061629.pdf,17.722651958465576
11360471.pdf,17.680026292800903
31602598.pdf,17.67668604850769
21060367.pdf,17.58345127105713
33286293.pdf,17.540055513381958
36758947.pdf,17.459129095077515
20992320.pdf,17.38805055618286
98965485.pdf,17.236247062683105
13411858.pdf,17.221821546554565
20082776.pdf,17.215139865875244
32980197.pdf,17.187950611114502
23032276.pdf,17.12817668914795
23139819.pdf,17.12754249572754
22593054.pdf,16.990973949432373
18645964.pdf,16.90280318260193
21297521.pdf,16.830648183822632
22182279.pdf,16.790282726287842
17306905.pdf,16.760435104370117
28298773.pdf,16.485668420791626
30594821.pdf,16.29418134689331
14126433.pdf,16.033304929733276
12777487.pdf,15.97211241722107
91072502.pdf,15.647660493850708
13272204.pdf,15.640122890472412
29821051.pdf,15.575767755508423
29072179.pdf,15.514808893203735
53265899.pdf,15.496878623962402
13491889.pdf,15.492558479309082
23387174.pdf,15.328223705291748
28471099.pdf,15.223686695098877
24817041.pdf,15.207873582839966
28051330.pdf,15.081312656402588
62555739.pdf,15.071665048599243
35564026.pdf,15.045045614242554
12386670.pdf,14.903604984283447
38847011.pdf,14.802683591842651
28092317.pdf,14.725418090820312
21763056.pdf,14.624536037445068
10830646.pdf,14.617998600006104
41651672.pdf,14.426703453063965
16248476.pdf,14.356201887130737
26189601.pdf,14.328747987747192
25067742.pdf,14.24039602279663
78107631.pdf,14.160676002502441
89049979.pdf,14.08171534538269
35483925.pdf,13.815630674362183
11209758.pdf,13.58909010887146
20488267.pdf,13.483524322509766
18369400.pdf,13.445191383361816
16594812.pdf,13.008573055267334
78403342.pdf,12.99495816230774
26069113.pdf,12.92776346206665
10554236.pdf,12.8005051612854
71422121.pdf,12.578191757202148
10674770.pdf,12.550681829452515
17407184.pdf,12.4153470993042
16804396.pdf,12.230520248413086
26987539.pdf,12.094238996505737
21853199.pdf,12.059379816055298
36024962.pdf,11.995155811309814
23591247.pdf,11.867969036102295
21334981.pdf,11.826808452606201
15306049.pdf,11.822205781936646
29839396.pdf,11.813187599182129
23752500.pdf,11.799825429916382
65352424.pdf,11.723597049713135
16407619.pdf,11.712440252304077
27024099.pdf,11.45195722579956
23246831.pdf,11.445497274398804
24580361.pdf,11.436256170272827
11842348.pdf,11.404149532318115
39064638.pdf,11.358977556228638
18885767.pdf,11.339198350906372
29406313.pdf,11.288321018218994
10276858.pdf,11.28315806388855
17276884.pdf,11.105828285217285
27298953.pdf,11.041806936264038
19831366.pdf,10.99400520324707
22925443.pdf,10.855950117111206
68781345.pdf,10.73337197303772
98348532.pdf,10.72147011756897
29784524.pdf,10.382394790649414
20149476.pdf,10.359916687011719
12780508.pdf,10.356481075286865
22465498.pdf,10.295209884643555
36302399.pdf,10.28859257698059
17104011_Kapil_Kumar_Israni.pdf,10.242191553115845
17818707.pdf,10.039846897125244
21101152.pdf,9.945496320724487
25624652.pdf,9.882909059524536
36366044.pdf,9.802465438842773
18669563.pdf,9.758472442626953
14663897.pdf,9.719470739364624
30713796.pdf,9.674239158630371
39674178.pdf,9.632295370101929
28711616.pdf,9.51482892036438
15289348.pdf,9.407507181167603
15856762.pdf,8.998767137527466
16924102.pdf,8.990112543106079
21794875.pdf,8.978394269943237
42487883.pdf,8.805796504020691
19508520.pdf,8.576275110244751
11163645.pdf,8.564603924751282
25162378.pdf,8.499848246574402
11637468.pdf,8.482420444488525
54180474.pdf,8.391602039337158
20817322.pdf,8.168754577636719
66226673.pdf,8.006976842880249
13982572.pdf,7.993391752243042
20148147.pdf,7.9308778047561646
30128072.pdf,7.827932238578796
25926667.pdf,7.765922546386719
23636277.pdf,7.740780711174011
19671909.pdf,7.635983228683472
15363277.pdf,7.551631331443787
25780596.pdf,7.4743664264678955
28419927.pdf,7.47245192527771
65325317.pdf,7.301290035247803
27558837.pdf,7.285336256027222
37997506.pdf,6.77107036113739
13701259.pdf,6.632281541824341
25862026.pdf,6.389684081077576
28176889.pdf,6.332408785820007
